OBJECTID,Site Name,Brief Description,NHA Join ID,COUNTY_NAM
542,Markleysburg Bog,Slow-moving stream through a sphagnum cranberry bog supports a variety of species of concern.,alj88619,FAYETTE
543,Confluence Bog,Small shrubby bog at the headwaters of a stream supports several species of concern.,alj88620,FAYETTE
544,The Glades-Fayette County,Wetland complex supports multiple species of concern.,alj88621,FAYETTE
545,Youghiogheny River Lake,Bald eagles nest along the shore of Youghiogheny River Lake.,alj88623,FAYETTE
546,Gibbon Glade,Forested habitat along Little Sandy Creek supports the long-tailed shrew.,alj88624,FAYETTE
547,Little Sandy Creek-Fayette County,Forested and shrubby wetlands along Little Sandy Creek supports numerous species of concern.,alj88625,FAYETTE
548,Hope Hollow Road,Regenerating forest on previously mined and farmed land supports three plant species of concern.,alj88642,FAYETTE
549,Lake Lynn Road,Regenerating forest supports two plant species of concern.,alj88643,FAYETTE
552,Stoney Fork,Floodplain forest along Stoney Run supports two plant species of concern.,alj88627,FAYETTE
553,McIntire Run Slope,Forested banks of McIntire Run support two species of concern.,alj88628,FAYETTE
554,Wharton Furnace Road,Deciduous forest along Chaney Run with seepy wetlands support multiple species of concern.,alj88629,FAYETTE
555,Brethren Summit,Protected upland acidic forest supports healthy populations of multiple species of concern.,alj88630,FAYETTE
556,Upper Quebec Run,"Rich woods, rocky outcrops, and caves support numerous species of concern.",alj88631,FAYETTE
557,Devies Mountain,Rocky sandstone mountains and forested stream valleys support species of concern near the border of West Virginia.,alj88632,FAYETTE
558,Rubles Run,"Rocky ridges, wet, seepy stream valleys, forested uplands, and caves support a variety of species of concern.",alj88633,FAYETTE
559,Mountain Creek,A small stream supports a fish species of concern.,alj88634,FAYETTE
560,Skyline Drive,"Dry, acidic forest supports a plant species of concern.",alj88635,FAYETTE
561,Chestnut Ridge South of Lick Run,"Rocky, acidic forest supports numerous species of concern.",alj88636,FAYETTE
562,"War Branch, Georges Creek",Hardwood forest and meadows along a stream valley support species and a natural community of concern.,alj88637,FAYETTE
563,Cheat River Confluence,Riverbank floodplains support several species of concern at the confluence of the Cheat River and the Monongahela.,alj88638,FAYETTE
565,Cheat River at West Virginia Border,Steep limestone slopes and sandy floodplains along the Cheat River support a variety of species of concern.,alj88640,FAYETTE
566,Mine Road,A sensitive species of concern is found in forest patches south of the Cheat River.,alj88641,FAYETTE
567,Big Sandy Creek,Forested floodplains along a sandy stream support many species of concern.,alj88626,FAYETTE
568,Deadman Run Headwaters,Revegetating wetland around stream headwaters supports a natural community and species of concern.,alj88622,FAYETTE
569,Deadman Run,A rare dragonfly species occurs along Deadman Run.,alj88616,FAYETTE
571,Fort Necessity,"Mixed forest, pasture, and wetlands on public lands supports multiple species of concern.",alj88614,FAYETTE
578,State Game Land #296,Rich forested slopes support multiple species of concern.,alj87733,FAYETTE
662,Trout Run Hill,Wet forested slopes support populations of a plant species of concern.,alj88197,FAYETTE
663,Upper Indian Creek,The floodplains and forests along Indian Creek support a variety of wetland communities and species of concern.,alj88201,FAYETTE
664,Chestnut Ridge at Limestone Run,"Rocky, mesic forest supports a wide variety of species of concern.",alj88210,FAYETTE
669,Monongahela River at Greensboro,"This stretch of the Monogohela River, just above the West Virginia border, supports multiple species of concern.",alj90243,FAYETTE
671,Monongahela River at Nemacolin,"This stretch of the river, and forested riparian areas, support multiple species of concern.",alj90244,FAYETTE
673,Middle Run Slopes,Mature forested upland supports multiple species of concern.,alj90245,FAYETTE
674,Wallace Run,Rich mesic woods providde habitat for species of concern.,alj90247,FAYETTE
675,Monongahela River at Isabella,The forested floodplain supports a Pennsylvania-endangered plant species.,alj90248,FAYETTE
676,Bates Run,A rare snail species inhabits a forested stream corridor.,alj90249,FAYETTE
677,Simpson Hill,The slopes above Dunlap Creek support the highest known snail diversity of any site in Pennsylvania.,alj90250,FAYETTE
678,Patsy Hillman Park,A sensitive species of concern is found in a forested park near the Monongahela River.,alj90251,FAYETTE
679,Flatwoods Road,A small woodlot supports a plant species of concern.,alj90252,FAYETTE
680,Meadow Run,"Rocky forest supports several species of concern, including a globally rare sedge.",alj90253,FAYETTE
16,Roberts Run,Forest and open habitat supports several plant and butterfly species of concern.,alj78429,GREENE
17,Triumph Road,Forest and open areas proivde habitat for several plant species of concern.,alj78836,GREENE
18,Eddys Run Road,Aquatic habitat supports sensitive species of concern.,alj78837,GREENE
19,Dye Cemetary Tributary,This disturbed forest matrix provides habitat for two plant species of concern.,alj78839,GREENE
20,Jones Road South,Forested areas provide habitat for a plant species of concern.,alj78847,GREENE
21,Deer Valley Road ,Forest and open areas provide habitat for several species of concern.,alj78848,GREENE
22,Kiger Hill Road,The sloping woodlands at this site provide habitat for several plant species of concern.,alj78880,GREENE
254,Enlow Fork Floodplain,Diverse floodplain and sloping forested hillsides along Wheeling Creek support numerous species of concern.,alj86791,GREENE
259,Enlow Fork Wheeling Creek,NHA site description is incomplete.,alj86795,GREENE
261,Enlow Fork Game Land Road,A Pennsylvania-endangered plant species relies on open floodplain areas along Wheeling Creek.,alj86796,GREENE
267,Marianna,A network of forest patches supports several species of concern.,alj86801,GREENE
269,Moth Ridge,A rare moth species inhabits open fields and sloping mesic forests.,alj86802,GREENE
272,Tenmile Creek Valley,"Tenmile Creek, and the forested edges, support many species of concern, including numerous rare plants and snails.",alj86804,GREENE
292,Nebo Ridge Road,A sensitive species of concern inhabits sloping forest.,alj86821,GREENE
293,Wind Ridge,Patchy forested landscape provides habitat for multiple species of concern.,alj86822,GREENE
294,Wheeling Creek at Pennsylvania Border,Steep cliffs and wooded slopes along Wheeling Creek support multiple species of concern.,alj86823,GREENE
295,Stone Coal Run,Wooded hillsides provide habitat for many plant species of concern.,alj86824,GREENE
296,Dunkard Fork,"This stretch of The sandy pools in this stretch of Dunkard Fork support many aquatic species of concern, and rare plants occur along its banks.",alj86825,GREENE
297,Barney's Run,A variety of species of concern are found in the forests bordering Barney's Run.,alj86826,GREENE
298,North Fork Dunkard Fork,NHA site description is incomplete.,alj86827,GREENE
299,Ryerson Station State Park,The forests and streams of Ryerson Station State Park support a variety of rare species of concern.,alj86828,GREENE
300,Aleppo Road,"A patchy landscape of forest, meadows, and old fields support a variety of species of concern.",alj86829,GREENE
301,Webster Run at Bristoria Road,Rich forest slopes support a population of a Pennsylvania-endangered plant species of concern.,alj86830,GREENE
302,Long Run,"Patchy, regenerating forest supports a plant species of concern.",alj86832,GREENE
303,Whipkey Ridge Road,Sloping deciduous forest supports two plant species of concern.,alj86833,GREENE
304,Long Run Road,"Open, shrubby habitats support plant species of concern.",alj86834,GREENE
305,Harts Run Road,"Patchy forest, shrub, and field landscape supports plant and snail species of concern.",alj86835,GREENE
306,Greene Valley Road,Open woodland edge supports a plant species of concern.,alj86836,GREENE
307,Morford Road Valley,A sensitive species of concern is found in sloping forest near the West Virginia border.,alj86837,GREENE
308,Knob Run,A plant species of concern grows in deciduous forest along Knob Run.,alj86838,GREENE
309,New Freeport,A plant species of concern is found in forest openings.,alj86839,GREENE
310,Golden Oaks Road,A rare plant species of concern is found in brushy edges of a forest opening.,alj86840,GREENE
311,Bassett Run,Deciduous forest supports multiple species of concern.,alj86841,GREENE
312,Garrison Fork,"Dry, open habitat supports plant species of concern.",alj86842,GREENE
313,Hero Road,Roadside old fields support a plant species of concern.,alj86843,GREENE
314,Shady Road,"Dry, open habitats support plant species of concern.",alj86844,GREENE
315,Pennsylvania Fork Dunkard Creek,This stretch of creek supports two aquatic species of concern.,alj86845,GREENE
316,Dunkard Creek Slopes,Two plant species of concern inhabit forested slopes.,alj86846,GREENE
317,Phillips Ridge Road,Two plants and an invertebrate species of concern occur in a patchy forest and old field landscape.,alj86847,GREENE
318,Drift Ridge South,Open deciduous woodland supports a plant species of concern.,alj86848,GREENE
319,Drift Ridge North,Open deciduous woodland supports a plant species of concern.,alj86849,GREENE
320,Ridge Road Slopes,Open deciduous woodland supports a plant species of concern.,alj86850,GREENE
321,Mason Dixon Park,Rich forest supports a variety of plant species of concern.,alj86851,GREENE
322,Dunkard Creek at Mt Morris,This stretch of Dunkard Creek supports a sensitive species of concern.,alj86852,GREENE
373,Johnson Road,Two plant species of concern are found in a forest patch at the edge of State Game Lands #223,alj86854,GREENE
374,Dunkard Creek Slope,Steep wooded slope supports a plant species of concern.,alj86855,GREENE
375,Glades Run Road,Steep rocky cliffs in forest landscape support a rare plant species of concern.,alj86857,GREENE
376,Meadow Run Slopes,"Small, steeply sloped forest patch supports multiple plant species of concern.",alj86858,GREENE
377,Davistown,Rocky outcrops on a hill above mine entrances provides habitat for a rare species of fern.,alj86859,GREENE
378,Dunkard Creek Above Bobtown,The patchwork of forests and open areas around this stretch of Dunkard Creek supports multiple species of concern.,alj86860,GREENE
379,Dunkard Creek Below Bobtown,"The patchy forests and fields along Dunkard Creek support several species of concern, including two Pennsylvania-endangered plant species.",alj86861,GREENE
380,Crooked Run at West Virginia Border,Two species of concern are found in the wet habitats along Crooked Run and in the agricultural valleys near the West Virginia border.,alj86862,GREENE
382,Monongahela River Slopes at Dunkard Creek,Two plant species of concern occur within the disturbed floodplain of the Monogohela River.,alj86864,GREENE
383,South Eighty Eight Road ROW,A powerline ROW provides habitat for a grass species of concern.,alj86865,GREENE
384,Whiteley Creek at Mapletown,A variety of plant species of concern are found along Whiteley Creek.,alj86866,GREENE
385,Alicia Road,A regenerating woodland supports a tree species of concern.,alj86867,GREENE
386,Headlee Heights Tributary,Sloping woodlands above a tributary to Whiteley Creek support two plant species of concern.\,alj87264,GREENE
387,Greensboro Floodplain,Two plant species of concern grow along the floodplain of the Monongahela River.,alj87265,GREENE
388,Whiteley Creek at Bobtown Road,Multiple species of concern occur in forest patches along Whiteley Creek.,alj87266,GREENE
389,Grinage Run,Wet forested hillside supports a plant species of concern.,alj87676,GREENE
390,Claylick Road,Pasture and ROW margins support a plant species of concern.,alj87677,GREENE
391,West Roy Furnace Highway at Grays Fork,A sensitive species of concern relies on small forest patches along the highway.,alj87678,GREENE
392,Rock Hill Road,"A Pennsylvania-endangered plant species occurs on a dry, wooded hill.",alj87679,GREENE
393,Crabapple Road,A sensitive species of concern uses a forested hillside as habitat.,alj87680,GREENE
394,Crow Road,A rare species of slug is found here in the wet leaf litter of pastures and forests.,alj87681,GREENE
395,Martin Road at Crouse Road,A rare plant species grows in a small patch of sloping roadside forest near a mine.,alj87683,GREENE
396,Tripp Hill Road,Two plant species of concern occur along a disturbed forested roadside.,alj87684,GREENE
397,Johnson Hill Road,Sloping forest supports a population of a plant species of concern.\,alj87685,GREENE
398,Quarry Road,A rare plant species of concern grows at the roadside edge of a regenerating pasture.,alj87687,GREENE
399,Booth School Road,"Patchy landscape of forests, pastures, and ROWs supports two sensitive species of concern and a plant species of concern.",alj87688,GREENE
400,Hill School House Road,"Young, regenerating forest supports two species of concern.",alj87689,GREENE
401,Throckmorton Run,A stream corridor supports two sensitive species of concern.,alj87690,GREENE
402,Pursley Creek,A sensitive species of concern uses Pursley Creek as habitat.,alj87691,GREENE
403,Browns Creek,Two sensitive species of concern rely on forested and aquatic habitat northwest of Waynesburg.,alj87692,GREENE
404,South Fork Tenmile Creek at Waynesburg,Two species of concern rely on aquatic habitat provided by this stretch of creek.,alj87693,GREENE
405,South Fork Tenmile Creek at Mather,Rare mussel species and a woodland rare spring ephemeral plant occur along this stretch of South Fork Tenmile Creek.,alj87694,GREENE
406,Gabby's Hole South Fork Tenmile Creek,NHA site description is incomplete.,alj87695,GREENE
407,Ruff Creek Confluence,Forested stream corridors support multiple species of concern.,alj87696,GREENE
408,Jefferson,Sandstone cliffs support a plant species of concern on the wet upper slopes.,alj87697,GREENE
409,Rush Run,A small patch of calcareous woodland along Rush Run and the Monogahela River supports a sensitive species of concern.,alj87698,GREENE
410,Pumpkin Run,The floodplain along Pumpkin Run and the dry woodland slopes above it support multiple species and communities of concern.,alj87699,GREENE
411,Rice's Landing,The forested slopes above the Greene River Trail supports a population of a plant species of concern.,alj87700,GREENE
412,Muddy Creek Confluence,The floodplains and steep calcareous slopes along Muddy Creek and the Monogohela River support a plant species of concern and two snail species of concern.,alj87701,GREENE
413,Nemacolin,The gently sloping floodplain along the Monogohela supports populations of a rare grass species.,alj87702,GREENE
414,Little Whitely Creek,A stream valley supports a small population of a plant species of concern.,alj87703,GREENE
415,Monongahela Strip Mine,A successional old field supports a plant species of concern.,alj87704,GREENE
416,Weimer Drive,Wooded area along the Monogahela River supports a plant species of concern.,alj87705,GREENE
422,Lick Run Slopes,A globally rare species of snail is found in the wooded landscape upslope from Lick Run.,alj87711,GREENE
433,Millsboro,"A sensitive species of concern relies on forests, fields, yards, and small pools.",alj87721,GREENE
441,Bell Run,Sensitive species of concern occur in forested hills.,alj87665,GREENE
442,Kirby Road,Wetlands and forest support species of concern.,alj87666,GREENE
443,Whiteley Creek at Kirby Road,Blue herons nest along Whiteley Creek.,alj87667,GREENE
444,Wood Run,Patchy forest landscape supports multiple species of concern.,alj87668,GREENE
445,Kuran's Road Intersection,A plant species of concern grows along a disturbed roadside.,alj87669,GREENE
446,Oak Forest Road,A sensitive species of concern was found in a small forest patch.,alj87670,GREENE
447,South Fork Tenmile Creek at Rogersville,Two freshwater mussel species of concern occur in this stretch of creek.,alj87671,GREENE
448,Rogersville,Blue herons nest at the edge of a stream outisde of Rogersville.,alj87672,GREENE
449,South Fork Tenmile Creek at West Run,A freshwater mussel species of concern occurs in this stretch of creek.,alj87673,GREENE
450,Bristoria Road,A sensitive species of concern relies on forest patches and wet open areas.,alj87674,GREENE
564,Cheat River Confluence,Riverbank floodplains support several species of concern at the confluence of the Cheat River and the Monongahela.,alj88638,GREENE
577,State Game Land #179,Hilly forested landscape supprts multiple species of concern.,alj87675,GREENE
580,State Game Land #223,Protected forest land supports several butterfly and plant species of concern.,alj87664,GREENE
614,Toms Run Woods,This forested site supports habitat for a sensitive species of concern.,alj78849,GREENE
659,Dooley Run,The patchy forested landscape along Dooley Run supports a variety of species of concern.,alj86853,GREENE
666,Nettle Hill,An old field on a hillside hosts a plant species of concern.,alj90240,GREENE
667,Bulldog Run,Upland woods support a plant species of concern.,alj90241,GREENE
668,McNeely Road,A plant species of concern inhabits the woodland edge.,alj90242,GREENE
670,Monongahela River at Greensboro,"This stretch of the Monogohela River, just above the West Virginia border, supports multiple species of concern.",alj90243,GREENE
672,Monongahela River at Nemacolin,"This stretch of the river, and forested riparian areas, support multiple species of concern.",alj90244,GREENE
35,Whiskey Run,Stream provides habitat for a sensitive species of concern.,alj82514,INDIANA
45,Mahoning Creek,Mahoning Creek and the surrounding forest support many species of concern.,alj83743,INDIANA
47,Little Mahoning Creek - Lower,Little Mahoning Creek hosts many species of concern.,alj84143,INDIANA
48,Little Mahoning Creek - Upper,Upper Little Mahoning Creek provides habitat for several aquatic species of concern.,alj84144,INDIANA
49,Nashville Swamp,Forested swamp that supports a rare plant community and a species of concern.,alj84145,INDIANA
50,Little Mahoning Creek Tributary,This section of the Little Mahoning Creek watershed hosts a sensitive aquatic species of concern.,alj84146,INDIANA
55,Johnsonburg,A woodlot near agricultural fields provides habitat for a species of concern.,alj84151,INDIANA
56,Kilns Run,Stream and associated riparian habitat that supports a species of concern.,alj84152,INDIANA
57,South Branch Two Lick Creek,The creek and its forested slopes provide habitat for a variety of aquatic and terrestrial species of concern.,alj84153,INDIANA
58,Yellow Creek,Yellow Creek provides habitat for an aquatic species of concern.,alj84154,INDIANA
59,Yellow Creek State Park,The lake and surrounding forest and wetlands in Yellow Creek State Park provides habitat for several species of concern.,alj84553,INDIANA
60,Little Yellow Creek,Little Yellow Creek and the surrounding forested slopes provide habitat for several species of concern.,alj84554,INDIANA
61,Little Yellow Creek at Strongstown,"This section of Little Yellow Creek, and the surrounding forested valley support several species of concern.",alj84555,INDIANA
62,Brush Creek at Brush Creek Road,This section of creek provides habitat for a species of concern.,alj84556,INDIANA
63,Blacklick Creek ,The steep forested slopes along Blacklick Creek provides habitat for a plant species of concern.,alj84558,INDIANA
64,Cramer Pike,Forested areas near a pipeline provide habitat for a species of concern.,alj84559,INDIANA
65,Findley Run Slope,The slopes above Findlay Run provides habitat for a species of concern.,alj84560,INDIANA
66,Conemaugh River at Power Plant Rd,Hillside above Conemaugh River provides nesting habitat for a species of concern.,alj84561,INDIANA
68,Conemaugh River at Pumphouse Rd,"The mostly wet, wooded slopes along the Conemaugh River at this site provide habitat for a variety of species of concern.",alj84562,INDIANA
71,Jericho Rd,Steep wooded slopes provide habitat for a plant species of concern.,alj84564,INDIANA
72,Conemaugh River at Blairsville,This section of the Conemaugh River provides habitat for a species of concern.,alj84567,INDIANA
74,Clyde,A forest patch along William Penn Highway provides habitat for a sensitive species of concern.,alj84569,INDIANA
75,Cherry Run North,Cherry Run and the surrounding shrubby vegetation provide habitat for a sensitive species of concern.,alj84570,INDIANA
76,Two Lick Creek,The creek and shrubby surrounding vegetation provide habitat for a sensitive species of concern.,alj84571,INDIANA
77,East Pike,Forest along Two Lick Creek Reservoir provides habitat for a species of concern.,alj84572,INDIANA
78,Onberg,Crooked Creek provides habitat for an aquatic species of concern.,alj84573,INDIANA
109,High Rise Drive,Forest patch provides habitat for a sensitive species of concern.,alj84971,INDIANA
110,Bairdstown,Forest along the Conemaugh River provides nesting habitat for a species of concern.,alj84972,INDIANA
112,Conemaugh Reservoir,Two bird species of concern nest along the Conemaugh River.,alj84973,INDIANA
114,Crooked Creek at Creekside,A community of concern occurs along Crooked Creek.,alj84975,INDIANA
590,Montgomery Road,Sloping wetland around a gas well provides habitat for a plant species of concern.,alj84577,INDIANA
595,Curry Run,Curry Run provides habitat for an aquatic species of concern.,alj84576,INDIANA
596,Anthony Run,Anthony Run hosts an aquatic species of concern.,alj84575,INDIANA
597,White's Woods,Mature forested slopes provide habitat for a plant species of concern.,alj84574,INDIANA
598,State Game Land #276,Forests around and within State Game Lands 276 support several species of concern.,alj84568,INDIANA
599,State Game Land #153,"The forested and rocky slopes, abandoned quarries, and caves in and around State Game Lands 153 provide habitat for many species of concern.",alj84565,INDIANA
601,State Game Land #273,"Ferrier Run, along SGL 273, provides habitat for a sensitive species of concern.",alj84557,INDIANA
605,South Branch Plum Creek,Aquatic and riparian habitat along Plum Creek provide habitat for a number of species of concern.,alj82526,INDIANA
607,Plum Creek at Crooked Creek,Creeks provide habitat for a sensitive species of concern.,alj82525,INDIANA
636,North Branch Plum Creek,Plum Creek provides habitat for an aquatic species of concern.,alj82527,INDIANA
651,Toms Run at Pine Ridge Park,Mesic slopes support a population of a sensitive species of concern.,alj84566,INDIANA
696,Blairsville,A small patch of forest near Blairsville supports a sensitive species of concern.,alj90270,INDIANA
79,Mahoning River at Edinburg,Floodplains and forests along the Mahoning River provide habitat for species and communities of concern.,alj84982,LAWRENCE
80,Hickory Run,A plant species of concern grows along Hickory Run.,alj84983,LAWRENCE
81,Hickory Pipeline,A sensitive species of concern is found in the wetlands along a pipeline ROW.,alj84984,LAWRENCE
82,Honey Creek,Honey Creek provides habitat for a rare freshwater mussel.,alj84985,LAWRENCE
83,North Fork Little Beaver Creek at Enon Valley,This stretch of the North Fork of Little Beaver Creek and a surrounding complex of wetlands provides habitat for two species of concern.,alj84986,LAWRENCE
84,North Fork Little Beaver Creek at Mud Bridge Road,A species of concern nests along the North Fork of Little Beaver Creek.,alj84987,LAWRENCE
86,Little Beaver Creek at New Galilee,Little Beaver Creek and surrounding wetlands provide habitat for a variety of species of concern.,alj84988,LAWRENCE
87,Beaver River at West Pittsburg,The Beaver River and surrounding wetlands provide habitat for several species of concern.,alj84989,LAWRENCE
88,Jenkins Run,Jenkins Run provides habitat for an aquatic species of concern.,alj84990,LAWRENCE
89,Wampum Run,The landscape surrounding Wampum Run supports several species of concern.,alj84991,LAWRENCE
90,Wampum Road,Abandoned mines provide habitat for sensitive species of concern.,alj84992,LAWRENCE
92,Beaver River at Connoquenessing Creek,This stretch of the Beaver River hosts several rare aquatic species of concern.,alj84993,LAWRENCE
94,Connoquenessing Creek at Ellport,"Connoquenessing Creek provides habitat for several freshwater mussel species, as well as nesting habitat for a bird species of concern.",alj84994,LAWRENCE
95,Slippery Rock Creek,"Slippery Rock Creek, stretching through McConnells Mills park, provides habitat for numerous species and communities of concern.",alj84995,LAWRENCE
96,Slippery Rock Gorge Trail,Slippery Rock Creek and the gorge surounding the creek support many species of concern.,alj84998,LAWRENCE
97,Mill Bridge Road,Wetlands near McConnells Mills State Park host two species of concern.,alj84999,LAWRENCE
98,Brush Run,A shrubby marsh meadow along Brush Run supports a variety of rare wetland plants.,alj85000,LAWRENCE
99,Harlansburg,The caves in Harlansburg provide habitat for a sensitive species of concern.,alj85001,LAWRENCE
100,Fringed Gentian Fen,These seepage wetlands and wet pastures provide habitat for many rare wetland forbs and graminoids.,alj85002,LAWRENCE
101,Hawk Marsh,A tussock sedge marsh community is found near Hottenbaugh Run.,alj85003,LAWRENCE
102,Vosler Road,Agricultural fields and pastures at site of a reclaimed strip mine provide habitat for a bird species of concern.,alj85004,LAWRENCE
103,Plain Grove Fens,Plain Grove Fens provide habitat for more than 20 rare species and communities of concern.,alj85005,LAWRENCE
104,Grange Hall Fen,This fen supports many rare species and communities of concern.,alj85006,LAWRENCE
105,Hillsville,Habitat near a strip mine hosts a sensitive species of concern.,alj85007,LAWRENCE
106,Plain Grove Road,Scrubby wetlands provide habitat for several species of concern.,alj85013,LAWRENCE
107,Old Ash Road,Wetlands provide habitat for rare plant species.,alj85413,LAWRENCE
108,Volant Grasslands,"This mosaic of grasslands, farm fields, and forests provide habitat for many bird species of concern.",alj85414,LAWRENCE
115,Coffee Run,Mosaic of wet agricultural and forested patches provides habitat for a plant species of concern.,alj84977,LAWRENCE
116,Shenango River Floodplains,The floodplains around Shenango River and its many tributaries provide habitat for a number of species and communities of concern.,alj84978,LAWRENCE
118,Slippery Rock Creek at Elliots Mills,The creek and surrounding floodplains provide habitat for several species of concern.,alj85416,LAWRENCE
119,Neshannock Creek at Newcastle,This stretch of Neshannock Creek and its floodplains provide habitat for a variety of species of concern.,alj85417,LAWRENCE
120,Little Neshannock Creek,"The creek, tributaries, and surrounding floodplains provide habitat for several species of concern.",alj85418,LAWRENCE
128,Wolf Creek Narrows,"The wetlands, forests, and creek habitat along Wolf Creek support many species of concern.",alj85823,LAWRENCE
201,Shenango River at New Castle,Open and forested wetlands along the Shenango River provide habitat for numerous species of concern.,alj84980,LAWRENCE
550,Bessemer Lake Park,Two rare snail species occur in Bessemer Lake Park.,alj88644,LAWRENCE
551,North Country Trail at Snake Run,Two snail species of concern occur along the North Country Trail.,alj89030,LAWRENCE
589,Heather Heights Road,A mix of pastures and agricultural fields provide habitat for a species of concern.,alj84981,LAWRENCE
593,Baird Road,A reclaimed strip mine provides habitat for two bird species of concern.,alj84979,LAWRENCE
594,State Game Land #284,A series of wetlands provide habitat for many species of concern.,alj85415,LAWRENCE
10,Buffalo Creek,NHA site description is incomplete.,ct62150,WASHINGTON
232,Peters Creek Road,"Wetlands, marshes, and forest patches along small streams provide habitat for multiple species of concern.",alj86731,WASHINGTON
242,Monongahela River at New Eagle,A variety of species are found in this stretch of the Monongahela River and along the floodplains.,alj86739,WASHINGTON
243,Riverview Floodplain,Two species of concern are found on a remnant floodplain along the Monongahela River.,alj86740,WASHINGTON
244,Dutch Fork Valley,The rich floodplain along Buffalo Creek supports multiple species and communities of concern.,alj86781,WASHINGTON
245,Narigan Run Road,Blue herons nest in the forested areas along Narigan Run.,alj86782,WASHINGTON
246,Dutch Fork,"A mussel species of concern inhabits Dutch Fork, downstream from Dutch Fork Lake.",alj86783,WASHINGTON
247,Dutch Fork at Claysville,Early successional wetlands provide habitat for two plant species of concern.,alj86784,WASHINGTON
248,North Sunset Beach Road,Two plant species of concern occur in early successional wetlands along a tributary to Buffalo Creek.,alj86785,WASHINGTON
249,Chartiers Creek at Washington,The wetlands along Chartiers Creek in Washington support species of concern.,alj86786,WASHINGTON
250,Pleasant Grove Road,Old fields support a population of a Pennsylvania-endangered plant species.,alj86787,WASHINGTON
251,Templeton Run Road,Steep slopes support a rare plant species.,alj86788,WASHINGTON
252,Robinson Fork,Sloping forest supports a plant species of concern.,alj86789,WASHINGTON
253,Rocky Run Road,A rare plant species of concern is found in a regenerating forest.,alj86790,WASHINGTON
255,Enlow Fork Floodplain,Diverse floodplain and sloping forested hillsides along Wheeling Creek support numerous species of concern.,alj86791,WASHINGTON
256,West Finley Road,Roadside open areas and rich forested slopes support two rare plant species.,alj86792,WASHINGTON
257,Fraction Road,"Open, wet habitat along pipeline provide habitat for a Pennsylvania-endangered plant species.",alj86793,WASHINGTON
258,Whiteman Road,Regenerating pastureland provides habitat for a plant species of concern.,alj86794,WASHINGTON
260,Enlow Fork Wheeling Creek,NHA site description is incomplete.,alj86795,WASHINGTON
262,Enlow Fork Game Land Road,A Pennsylvania-endangered plant species relies on open floodplain areas along Wheeling Creek.,alj86796,WASHINGTON
263,Enlow Fork at Newland School Road,NHA site description is incomplete.,alj86797,WASHINGTON
264,Tenmile Creek,A rare mussel species is found in Tenmile Creek.,alj86798,WASHINGTON
265,Ringlands Slope Forest,Rich forested slopes provide habitat for a large population of a rare plant species of concern.,alj86799,WASHINGTON
266,Tenmile Creek at 10 Mile Road,A rare mussel occurs in this stretch of Tenmile Creek.,alj86800,WASHINGTON
268,Marianna,A network of forest patches supports several species of concern.,alj86801,WASHINGTON
270,Moth Ridge,A rare moth species inhabits open fields and sloping mesic forests.,alj86802,WASHINGTON
271,Little Tenmile Creek,A fish species of concern inhabits Little Tenmile Creek.,alj86803,WASHINGTON
273,Tenmile Creek Valley,"Tenmile Creek, and the forested edges, support many species of concern, including numerous rare plants and snails.",alj86804,WASHINGTON
274,Daniels Run,Mesic wooded slopes supports two species of concern.,alj86805,WASHINGTON
275,Carlton Drive,Blue herons nest along the North Branch Pigeon Creek.,alj86806,WASHINGTON
276,Hixon Road,A rare plant species uses wetland floodplain habitat along a road.,alj86807,WASHINGTON
277,Pigeon Creek,Steep wooded slopes along Pigeon Creek host a variety of species of concern.,alj86808,WASHINGTON
278,Mingo Creek,A variety of species of concern occur in the forested landscapes along Mingo Creek.,alj86809,WASHINGTON
279,Valley View Road at Sugar Run,A sensitive species of concern is found in a landscape of small woodlots and agricultural fields.,alj86810,WASHINGTON
280,Union Street at Mingo Creek,NHA site description is incomplete.,alj86811,WASHINGTON
281,Union Street at Froman Run,A sensitive species of concern relies on forested habitat along Froman Run.,alj86812,WASHINGTON
282,Baidland,A mesic forested hillside supports a plant species of concern.,alj86813,WASHINGTON
283,South Branch Maple Creek,A sensitive species of concern is found in a creek south of Charleroi,alj86814,WASHINGTON
284,California,A butterfly species of concern relies on open wet habitat near Pike Run Creek.,alj86815,WASHINGTON
286,Monongahela River at Fayette City,This stretch of the Monogahela River supports two sensitive species of concern.,alj86816,WASHINGTON
288,Monongahela River at Alicia,A fish species of concern is found in this stretch of the Monogahela River.,alj86817,WASHINGTON
289,Denbo Monongahela Riverside,A forested floodplain provides habitat for a rare plant species of concern.,alj86818,WASHINGTON
290,Gambles,Emergent wetlands provide habitat for several species of concern.,alj86819,WASHINGTON
291,Peters Lake Park,"Moist, rich woodlands support a rare plant species of concern.",alj86820,WASHINGTON
335,Aunt Clara Fork,The forests along where a creek forks provides habitat for multiple species of concern.,alj86756,WASHINGTON
336,Hillman State Park,The forests near a small stream support a Pennsylvania endangered plant species of concern and a rare dragonfly.,alj86757,WASHINGTON
337,Shovel Road,"A rare plant species of concern is found in wet, swampy areas.",alj86758,WASHINGTON
338,Panhandle Trail,"A rare butterfly uses open, patchy habitats along the Panhandle Trail near Burgettstown.",alj86759,WASHINGTON
339,Raccoon Creek Westmoreland County,The floodplain along Raccoon Creek in Westmoreland County support multiple rare species of concern.,alj86760,WASHINGTON
